,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,CONDICION_VICTIMA,LESIONADO,HOMICIDIOS,TIPO_ACCIDENTE,HIPOTESIS,GENERO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
1303,DAÑOS,2021-08-07,2021,14:40,TARDE,SABADO,CENTRO,CALLE 29 CARRERA 32,URBANA,TECNICO,3.5266,-76.30263,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PARTICULAR,NO APLICA
1304,DAÑOS,2021-08-07,2021,14:40,TARDE,SABADO,CENTRO,CALLE 29 CARRERA 32,URBANA,TECNICO,3.5266,-76.30263,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,BUS,CHEVROLET,NO APLICA 2021,PARTICULAR,NO APLICA
1305,HERIDOS,2021-08-08,2021,15:20,TARDE,DOMINGO,TRINIDAD,CALLE 28 CARRERA 23,URBANA,TECNICO,3.52473,-76.29501,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,AUTOMOVIL,KIA,NO APLICA 2021,PARTICULAR,NO APLICA
1306,HERIDOS,2021-08-08,2021,15:20,TARDE,DOMINGO,TRINIDAD,CALLE 28 CARRERA 23,URBANA,TECNICO,3.52473,-76.29501,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,SANTA BARBARA,MOTO,HONDA,NO APLICA 2021,PARTICULAR,NO APLICA
1307,DAÑOS,2021-08-08,2021,11:40,TARDE,DOMINGO,NUEVO,CALLE 23 CARRERA 33A-37,URBANA,TECNICO,3.52199,-76.3049,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,CAMPERO,RENAULT,NO APLICA 2021,PARTICULAR,NO APLICA
1308,DAÑOS,2021-08-08,2021,11:40,TARDE,DOMINGO,NUEVO,CALLE 23 CARRERA 33A-37,URBANA,TECNICO,3.52199,-76.3049,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,DAEWOO,NO APLICA 2021,PARTICULAR,NO APLICA
1309,HERIDOS,2021-08-09,2021,10:30,MAÑANA,LUNES,URIBE,CARRERA 22 CALLE 35,URBANA,TECNICO,3.53129,-76.29327,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMIRA,MOTO,HONDA,NO APLICA 2021,PARTICULAR,NO APLICA
1310,HERIDOS,2021-08-09,2021,10:30,MAÑANA,LUNES,URIBE,CARRERA 22 CALLE 35,URBANA,TECNICO,3.53129,-76.29327,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,CAMION,NISSAN,NO APLICA 2021,PARTICULAR,NO APLICA
1311,DAÑOS,2021-08-09,2021,17:20,TARDE,LUNES,CENTRO,CARRERA 29 CALLE 32,URBANA,TECNICO,3.5266,-76.30263,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,SUZUKI,NO APLICA 2021,PARTICULAR,NO APLICA
1312,DAÑOS,2021-08-09,2021,17:20,TARDE,LUNES,CENTRO,CARRERA 29 CALLE 32,URBANA,TECNICO,3.5266,-76.30263,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,MOTO,HONDA,NO APLICA 2021,PARTICULAR,NO APLICA
