,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_VICTIMA,TIPO_ACCIDENTE,GENERO,LESIONADO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA,HOMICIDIOS
236,HERIDOS,2022-02-07,2022,18:30,NOCHE,LUNES,VERSALLES,CALLE 43 CARRERA 27,URBANA,TECNICO,3.53861,-76.29606,ARRANCAR SIN PRECAUCION,MOTOCICLISTA,CHOQUE,FEMENINA,LESIONADO,PALMA,MOTO,KYMCO,CALI,PARTICULAR,NO APLICA,0
237,HERIDOS,2022-02-07,2022,18:30,NOCHE,LUNES,VERSALLES,CALLE 43 CARRERA 27,URBANA,TECNICO,3.53861,-76.29606,ARRANCAR SIN PRECAUCION,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,RENAULT,PALMIRA,PARTICULAR,NO APLICA,0
238,HERIDOS,2022-02-08,2022,05:35,MADRUGADA,MARTES,BARRIO NUEVO,CALLE 23 CARRERA 33A,URBANA,TECNICO,3.5217,-76.30491,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMA,MOTO,VICTORY,FLORIDA,PARTICULAR,NO APLICA,0
239,HERIDOS,2022-02-08,2022,05:35,MADRUGADA,MARTES,BARRIO NUEVO,CALLE 23 CARRERA 33A,URBANA,TECNICO,3.5217,-76.30491,NO RESPETAR PRELACION,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PALMIRA,PARTICULAR,NO APLICA,0
240,HERIDOS,2022-02-08,2022,05:35,MADRUGADA,MARTES,BARRIO NUEVO,CALLE 23 CARRERA 33A,URBANA,TECNICO,3.5217,-76.30491,NO RESPETAR PRELACION,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
241,HERIDOS,2022-02-08,2022,18:20,NOCHE,MARTES,CENTRO,CARRERA 28 CALLE 27-64,URBANA,TECNICO,3.52477,-76.29929,CRUZAR SIN OBSERVAR,NO APLICA,ATROPELLO,MASCULINO,NO APLICA,NO APLICA,MOTO,SUZUKI,PALMIRA,PARTICULAR,NO APLICA,0
242,HERIDOS,2022-02-08,2022,18:20,NOCHE,MARTES,CENTRO,CARRERA 28 CALLE 27-64,URBANA,TECNICO,3.52477,-76.29929,CRUZAR SIN OBSERVAR,PEATON,ATROPELLO,FEMENINA,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
243,DAÑOS,2022-02-08,2022,06:55,MAÑANA,MARTES,SESQUI,CARRERA 32 CALLE 9,URBANA,TECNICO,3.50673,-76.31255,NO SABER MANIOBRAR EN UNA SITUACION DE PELIGRO,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,MOTO,HERO,FLORIDA,PARTICULAR,NO APLICA,0
244,DAÑOS,2022-02-08,2022,06:55,MAÑANA,MARTES,SESQUI,CARRERA 32 CALLE 9,URBANA,TECNICO,3.50673,-76.31255,NO SABER MANIOBRAR EN UNA SITUACION DE PELIGRO,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PALMIRA,PARTICULAR,NO APLICA,0
245,DAÑOS,2022-02-08,2022,10:50,MAÑANA,MARTES,VIA PALMIRA TIENDA NUEVA,KM 5+ 800MTS,RURAL,TECNICO,3.54802,-76.25333,ADELANTAR EN ZONA PROHIBIDA,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,KIA,BOGOTA,PARTICULAR,NO APLICA,0
